50;99703319;104370927;106408499;109646670;119511261;107238473;1193008
100;199020106;208153845;213291928;218217473;232246810;213023365;1955142
150;337297889;355560758;374306543;383545922;396757945;370360416;4929915
200;467816371;495637042;516368133;534205012;559056847;516459829;6232480
250;596127470;638856007;661346771;682121844;695630448;657343736;7369335
300;716906859;742194975;769882958;782240095;830910818;769855241;8747627
350;850336524;881553010;900993919;929031728;955373859;902102545;8244969
400;969656446;1006937063;1023078332;1038249029;1075693049;1025527167;7191492
450;1062203254;1117993711;1135809741;1157953147;1196129302;1136791217;8549326
500;1194488793;1247819027;1265504819;1285478406;1338339829;1267369035;8747083
550;1298891408;1360376230;1383581626;1396040687;1446252630;1379434067;8288796
600;1411700331;1476794279;1495615473;1531373285;1563679683;1497879441;10907616
650;1523133256;1592382895;1634060782;1653097655;1703704527;1623416690;11309726
700;1651870606;1712296106;1745785579;1773041064;1833366800;1744948478;10870921
750;1799434427;1857202331;1885811314;1901945050;1971356158;1884567832;11106500
800;1945131323;1988332302;2016273307;2047321799;2101658581;2021289324;12028477
850;2033874834;2087867598;2122065580;2144124665;2227767654;2121055456;11960673
900;2128397748;2196552897;2252379476;2289845931;2360001206;2248629789;15635257
950;2276660049;2357153010;2409342166;2455613183;2543463792;2410879283;17592400
1000;2397618110;2483455455;2537434804;2586458979;2648410314;2536206534;17752209
