50;23719147;24224415;24556480;24966661;26641911;24637375;156333
100;46846428;49305179;49937419;50441516;53028410;49837454;320676
150;68027249;72912564;74121167;74971958;85937441;74059844;718037
200;91326560;94605673;98486892;99291749;104344707;97521426;850592
250;114627335;117963206;119062680;120667420;125979594;119414557;729333
300;138366962;141700200;144498037;147383643;156184995;145001711;1170621
350;164774526;169447144;173284771;176384246;184307305;173218474;1345961
400;188961491;197178290;200394792;204703163;211820487;200851802;1637455
450;215202583;219689421;224042261;228881936;241205231;225549979;1993251
500;237638231;246374339;255144679;262169843;270582370;255362981;2699593
550;262621570;275312625;282884893;287775183;296126563;281203096;2489021
600;287798003;296009243;305027095;312065425;327250923;306079032;3088091
650;313336053;321866485;327989659;337157307;353032096;330145073;3093973
700;338501660;346819103;353133911;360440819;381988228;354366240;2742501
750;360091200;367737781;373113735;379424154;388375008;373389434;1921847
800;379083896;394145053;414746293;429602065;495171735;416848289;7638394
850;402335812;415287838;424387902;433808621;446666441;424498095;2969743
900;434722314;443555848;450499093;456066387;498858103;451649404;3461327
950;448993241;460752464;469636905;475704492;491897889;469305365;2954267
1000;479168215;490081328;494116147;500748684;519045359;495833420;2542993
