50;37409870;39712091;40551614;41872681;46981249;40825827;520100
100;74848886;77594063;79350288;82620526;96710959;80682800;1242332
150;109509472;113130299;114992028;116545042;141809133;116038733;1445413
200;149576667;154103932;158648849;160472809;166534204;157647883;1147641
250;186351044;195045954;197574786;200420541;205740939;197833070;1161424
300;227567297;236209249;239537372;240841608;254943126;238988007;1273608
350;263962350;274421694;278554856;282444575;297325268;278963959;1906965
400;301652197;310932104;318158978;324177268;347633408;318831228;2748566
450;345764700;350349028;356190792;361479579;374075294;356693717;1938489
500;385523591;394501763;402854706;409270794;428996087;402743847;2759305
550;418006345;431712117;437322756;448968927;466004463;440010788;3243488
600;462762141;478331694;486726100;497015897;513094090;487001266;3464966
650;498716701;509037287;521511896;527900069;613747728;521387975;4867196
700;548439432;565718820;571012535;576878519;593948540;571424372;2690897
750;601339623;610144553;617716268;624627039;641422007;618261584;2674503
800;622111344;642761960;653135914;658724386;715327919;651870382;4386503
850;655329758;672637472;688432814;697900331;721996068;686312192;4610008
900;685596911;721248914;730479558;739256163;760854679;730598323;4593658
950;750978691;766349140;775656552;781562357;804829657;775844350;3187702
1000;782708542;811284334;816156850;824923190;847850986;816902190;3685762
